_id,devAddr,deduplicationId,time,deviceInfo.deviceClassEnabled,deviceInfo.tenantName,deviceInfo.tenantId,deviceInfo.deviceProfileId,deviceInfo.applicationId,deviceInfo.deviceName,deviceInfo.applicationName,deviceInfo.devEui,deviceInfo.deviceProfileName,deviceInfo.tags.Description,deviceInfo.tags.Address,deviceInfo.tags.Name,deviceInfo.tags.Location,txInfo.modulation.lora.spreadingFactor,txInfo.modulation.lora.bandwidth,txInfo.modulation.lora.codeRate,txInfo.frequency,fPort,data,fCnt,confirmed,adr,dr,rxInfo[0].rssi,rxInfo[1].rssi,rxInfo[2].rssi,rxInfo[0].snr,rxInfo[1].snr,rxInfo[2].snr,rxInfo[0].metadata.region_config_id,rxInfo[1].metadata.region_config_id,rxInfo[2].metadata.region_config_id,rxInfo[0].metadata.region_common_name,rxInfo[1].metadata.region_common_name,rxInfo[2].metadata.region_common_name,rxInfo[0].crcStatus,rxInfo[1].crcStatus,rxInfo[2].crcStatus,object.co2,object.co2_status,object.co2_message,object.temperature,object.temperature_status,object.temperature_message,object.humidity,object.humidity_status,object.humidity_message,object.pressure,object.pressure_status,object.pressure_message,object.battery
0260279a2ec54bc69d403ac8,01f5c530,2cc46713-9aba-403e-bfbd-23b7d7309502,2014-04-20T10:00:00.000+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,1d9d2a0d-d5c2-4339-9080-8a9defc094a0,572beadb-725b-4d67-a009-e9ca93cc5fc3,EMS-6993,EM500-CO2-915M,24e124126d376993,EM500-CO2-915M,"Mide la concentración de CO2, además de la temperatura, humedad y presión barométrica.",Cristo de la Concordia,Sensor CO2,"-17.3844962748556, -66.1353062672603",10,125000,CR_4_5,915200000,85,/wv//wEB,1,FALSE,TRUE,2,-98,-96,-87,-1.6,0.2,1.2,au915_0,au915_0,au915_0,AU915,AU915,AU915,CRC_OK,CRC_OK,CRC_OK,1195.1,Alto,CO2: 1195.1 ppm,18.9,Frio,Temperatura: 18.9°C,42.3,Normal,Humedad: 42.3%,1001.5,Normal,Presión: 1001.5 hPa,88.9
59324477b4ab4b2bb5756d42,01f5c530,904c6bcc-9356-40e6-91d7-7ffe1308ac66,2014-04-20T10:00:01.000+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,1d9d2a0d-d5c2-4339-9080-8a9defc094a0,572beadb-725b-4d67-a009-e9ca93cc5fc3,EMS-6993,EM500-CO2-915M,24e124126d376993,EM500-CO2-915M,"Mide la concentración de CO2, además de la temperatura, humedad y presión barométrica.",Cristo de la Concordia,Sensor CO2,"-17.3844962748556, -66.1353062672603",10,125000,CR_4_5,916200000,85,/wv//wEB,2,FALSE,TRUE,2,-105,-98,-91,-5.4,-6.0,-6.6,au915_0,au915_0,au915_0,AU915,AU915,AU915,CRC_OK,CRC_OK,CRC_OK,567.2,Normal,CO2: 567.2 ppm,15.8,Frio,Temperatura: 15.8°C,73.7,Alto,Humedad: 73.7%,992.0,Normal,Presión: 992.0 hPa,85.6
4a5cae6ff1eb47c5b53afa75,01f5c530,3c16adfe-da7f-47ed-9f49-203c4cb16066,2014-04-20T10:00:02.000+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,1d9d2a0d-d5c2-4339-9080-8a9defc094a0,572beadb-725b-4d67-a009-e9ca93cc5fc3,EMS-6993,EM500-CO2-915M,24e124126d376993,EM500-CO2-915M,"Mide la concentración de CO2, además de la temperatura, humedad y presión barométrica.",Cristo de la Concordia,Sensor CO2,"-17.3844962748556, -66.1353062672603",10,125000,CR_4_5,916200000,85,/wv//wEB,3,FALSE,TRUE,2,-112,-87,-89,4.2,-0.6,-3.9,au915_0,au915_0,au915_0,AU915,AU915,AU915,CRC_OK,CRC_OK,CRC_OK,626.6,Moderado,CO2: 626.6 ppm,19.2,Frio,Temperatura: 19.2°C,34.8,Bajo,Humedad: 34.8%,1034.5,Alto,Presión: 1034.5 hPa,84.6
d01cb8d4d21c44e1812265a0,01f5c530,4af899ea-8896-43a2-a055-3402a6fb124e,2014-04-20T10:00:03.000+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,1d9d2a0d-d5c2-4339-9080-8a9defc094a0,572beadb-725b-4d67-a009-e9ca93cc5fc3,EMS-6993,EM500-CO2-915M,24e124126d376993,EM500-CO2-915M,"Mide la concentración de CO2, además de la temperatura, humedad y presión barométrica.",Cristo de la Concordia,Sensor CO2,"-17.3844962748556, -66.1353062672603",10,125000,CR_4_5,915600000,85,/wv//wEB,4,FALSE,TRUE,2,-111,-84,-114,-7.6,-7.2,5.2,au915_0,au915_0,au915_0,AU915,AU915,AU915,CRC_OK,CRC_OK,CRC_OK,772.1,Moderado,CO2: 772.1 ppm,25.7,Calido,Temperatura: 25.7°C,63.7,Normal,Humedad: 63.7%,987.8,Normal,Presión: 987.8 hPa,98.4
68bd86c0f1cc4da8bc71dd46,01f5c530,f58bbb14-3eca-4884-9d1c-b16f1283a3e9,2014-04-20T10:00:04.000+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,1d9d2a0d-d5c2-4339-9080-8a9defc094a0,572beadb-725b-4d67-a009-e9ca93cc5fc3,EMS-6993,EM500-CO2-915M,24e124126d376993,EM500-CO2-915M,"Mide la concentración de CO2, además de la temperatura, humedad y presión barométrica.",Cristo de la Concordia,Sensor CO2,"-17.3844962748556, -66.1353062672603",10,125000,CR_4_5,916200000,85,/wv//wEB,5,FALSE,TRUE,2,-98,-81,-97,4.5,-7.2,-5.0,au915_0,au915_0,au915_0,AU915,AU915,AU915,CRC_OK,CRC_OK,CRC_OK,987.2,Moderado,CO2: 987.2 ppm,21.5,Normal,Temperatura: 21.5°C,38.7,Bajo,Humedad: 38.7%,984.4,Normal,Presión: 984.4 hPa,81.3
f9dc9b28173b40b5b2f0cfb8,01f5c530,32990aaf-dc5c-467b-a1df-919de809fa41,2014-04-20T10:00:05.000+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,1d9d2a0d-d5c2-4339-9080-8a9defc094a0,572beadb-725b-4d67-a009-e9ca93cc5fc3,EMS-6993,EM500-CO2-915M,24e124126d376993,EM500-CO2-915M,"Mide la concentración de CO2, además de la temperatura, humedad y presión barométrica.",Cristo de la Concordia,Sensor CO2,"-17.3844962748556, -66.1353062672603",10,125000,CR_4_5,915600000,85,/wv//wEB,6,FALSE,TRUE,2,-87,-80,-110,3.5,8.2,-1.5,au915_0,au915_0,au915_0,AU915,AU915,AU915,CRC_OK,CRC_OK,CRC_OK,1124.0,Alto,CO2: 1124.0 ppm,22.7,Normal,Temperatura: 22.7°C,59.8,Normal,Humedad: 59.8%,1015.8,Normal,Presión: 1015.8 hPa,93.3
01878692095f450b9c4e0f58,01f5c530,e86a2d7a-3dde-40b5-8388-90640cfae6d1,2014-04-20T10:00:06.000+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,1d9d2a0d-d5c2-4339-9080-8a9defc094a0,572beadb-725b-4d67-a009-e9ca93cc5fc3,EMS-6993,EM500-CO2-915M,24e124126d376993,EM500-CO2-915M,"Mide la concentración de CO2, además de la temperatura, humedad y presión barométrica.",Cristo de la Concordia,Sensor CO2,"-17.3844962748556, -66.1353062672603",10,125000,CR_4_5,915200000,85,/wv//wEB,7,FALSE,TRUE,2,-105,-101,-85,-2.7,-6.4,2.1,au915_0,au915_0,au915_0,AU915,AU915,AU915,CRC_OK,CRC_OK,CRC_OK,967.6,Moderado,CO2: 967.6 ppm,24.3,Normal,Temperatura: 24.3°C,51.8,Normal,Humedad: 51.8%,989.1,Normal,Presión: 989.1 hPa,85.1
792febcc1bd74135900a4654,01f5c530,6b0cad6d-d671-4d03-97e0-15c2bc89f509,2014-04-20T10:00:07.000+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,1d9d2a0d-d5c2-4339-9080-8a9defc094a0,572beadb-725b-4d67-a009-e9ca93cc5fc3,EMS-6993,EM500-CO2-915M,24e124126d376993,EM500-CO2-915M,"Mide la concentración de CO2, además de la temperatura, humedad y presión barométrica.",Cristo de la Concordia,Sensor CO2,"-17.3844962748556, -66.1353062672603",10,125000,CR_4_5,915200000,85,/wv//wEB,8,FALSE,TRUE,2,-88,-85,-115,9.2,3.4,7.9,au915_0,au915_0,au915_0,AU915,AU915,AU915,CRC_OK,CRC_OK,CRC_OK,955.6,Moderado,CO2: 955.6 ppm,23.8,Normal,Temperatura: 23.8°C,43.6,Normal,Humedad: 43.6%,971.5,Bajo,Presión: 971.5 hPa,91.9
2626d5bf9091464fa57b062d,01f5c530,a3a707c0-fd83-4033-a4b4-bbb9d7d5e069,2014-04-20T10:00:08.000+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,1d9d2a0d-d5c2-4339-9080-8a9defc094a0,572beadb-725b-4d67-a009-e9ca93cc5fc3,EMS-6993,EM500-CO2-915M,24e124126d376993,EM500-CO2-915M,"Mide la concentración de CO2, además de la temperatura, humedad y presión barométrica.",Cristo de la Concordia,Sensor CO2,"-17.3844962748556, -66.1353062672603",10,125000,CR_4_5,915600000,85,/wv//wEB,9,FALSE,TRUE,2,-104,-109,-82,-5.6,3.9,-0.8,au915_0,au915_0,au915_0,AU915,AU915,AU915,CRC_OK,CRC_OK,CRC_OK,857.0,Moderado,CO2: 857.0 ppm,28.9,Calido,Temperatura: 28.9°C,42.4,Normal,Humedad: 42.4%,1004.2,Normal,Presión: 1004.2 hPa,92.0
86a94294fa4a455fa4315c42,01f5c530,78010cdd-b7e3-4505-b0f7-4ca075346845,2014-04-20T10:00:09.000+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,1d9d2a0d-d5c2-4339-9080-8a9defc094a0,572beadb-725b-4d67-a009-e9ca93cc5fc3,EMS-6993,EM500-CO2-915M,24e124126d376993,EM500-CO2-915M,"Mide la concentración de CO2, además de la temperatura, humedad y presión barométrica.",Cristo de la Concordia,Sensor CO2,"-17.3844962748556, -66.1353062672603",10,125000,CR_4_5,915600000,85,/wv//wEB,10,FALSE,TRUE,2,-94,-116,-112,-8.6,7.5,5.3,au915_0,au915_0,au915_0,AU915,AU915,AU915,CRC_OK,CRC_OK,CRC_OK,519.0,Normal,CO2: 519.0 ppm,24.0,Normal,Temperatura: 24.0°C,45.0,Normal,Humedad: 45.0%,1040.5,Alto,Presión: 1040.5 hPa,84.3
