_id,devAddr,deduplicationId,time,deviceInfo.deviceClassEnabled,deviceInfo.tenantName,deviceInfo.tenantId,deviceInfo.deviceProfileId,deviceInfo.applicationId,deviceInfo.deviceName,deviceInfo.applicationName,deviceInfo.devEui,deviceInfo.deviceProfileName,deviceInfo.tags.Description,deviceInfo.tags.Address,deviceInfo.tags.Name,deviceInfo.tags.Location,txInfo.modulation.lora.spreadingFactor,txInfo.modulation.lora.bandwidth,txInfo.modulation.lora.codeRate,txInfo.frequency,fPort,data,fCnt,confirmed,adr,dr,rxInfo[0].rssi,rxInfo[1].rssi,rxInfo[2].rssi,rxInfo[0].snr,rxInfo[1].snr,rxInfo[2].snr,rxInfo[0].metadata.region_config_id,rxInfo[1].metadata.region_config_id,rxInfo[2].metadata.region_config_id,rxInfo[0].metadata.region_common_name,rxInfo[1].metadata.region_common_name,rxInfo[2].metadata.region_common_name,rxInfo[0].crcStatus,rxInfo[1].crcStatus,rxInfo[2].crcStatus,object.LAeq,object.LAI,object.LAImax,object.battery,object.status
6e47df6b26e940688178c8cb,008ac7ec,ca99c172-ef85-4a1c-af1b-d33abe3230fa,2014-04-20T10:00:00.000+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,19da3dff-9fe0-41ed-8c8e-fb5a7017d025,bb9914a5-1c77-4941-9baf-1332dc8b2d40,SLS-8588,WS302-915M,24e124743d018588,WS302-915M,Mide la cantidad de decibeles (dB) en el ambiente o sector,Av. Melchor Urquidi y Zenon Salinas (AWRA),Sensor de medición de sonido,"-17.375344862040876, -66.14936933868707",10,125000,CR_4_5,916200000,85,/wv//wEB,1,FALSE,TRUE,2,-86,-96,-103,9.7,9.5,5.2,au915_0,au915_0,au915_0,AU915,AU915,AU915,CRC_OK,CRC_OK,CRC_OK,58.7,67.2,92.6,83.1,Moderado
e29c1a56b77e46b68b64bbeb,008ac7ec,3b7162e5-7222-40c0-a3ad-66113e8f31c8,2014-04-20T10:00:01.000+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,19da3dff-9fe0-41ed-8c8e-fb5a7017d025,bb9914a5-1c77-4941-9baf-1332dc8b2d40,SLS-8588,WS302-915M,24e124743d018588,WS302-915M,Mide la cantidad de decibeles (dB) en el ambiente o sector,Av. Melchor Urquidi y Zenon Salinas (AWRA),Sensor de medición de sonido,"-17.375344862040876, -66.14936933868707",10,125000,CR_4_5,916200000,85,/wv//wEB,2,FALSE,TRUE,2,-98,-112,-91,-5.2,-4.8,9.7,au915_0,au915_0,au915_0,AU915,AU915,AU915,CRC_OK,CRC_OK,CRC_OK,45.4,82.5,82.7,93.7,Normal
38c57b03a1bb43a98192cd21,008ac7ec,6bfa6283-1026-4cf9-94f1-4e279f56f15a,2014-04-20T10:00:02.000+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,19da3dff-9fe0-41ed-8c8e-fb5a7017d025,bb9914a5-1c77-4941-9baf-1332dc8b2d40,SLS-8588,WS302-915M,24e124743d018588,WS302-915M,Mide la cantidad de decibeles (dB) en el ambiente o sector,Av. Melchor Urquidi y Zenon Salinas (AWRA),Sensor de medición de sonido,"-17.375344862040876, -66.14936933868707",10,125000,CR_4_5,915600000,85,/wv//wEB,3,FALSE,TRUE,2,-96,-101,-117,-7.0,-4.3,-5.8,au915_0,au915_0,au915_0,AU915,AU915,AU915,CRC_OK,CRC_OK,CRC_OK,50.0,74.1,91.2,90.2,Normal
88c1bb132159415d92177428,008ac7ec,211f14fa-634b-4506-ada5-046a3c8e0cd2,2014-04-20T10:00:03.000+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,19da3dff-9fe0-41ed-8c8e-fb5a7017d025,bb9914a5-1c77-4941-9baf-1332dc8b2d40,SLS-8588,WS302-915M,24e124743d018588,WS302-915M,Mide la cantidad de decibeles (dB) en el ambiente o sector,Av. Melchor Urquidi y Zenon Salinas (AWRA),Sensor de medición de sonido,"-17.375344862040876, -66.14936933868707",10,125000,CR_4_5,915200000,85,/wv//wEB,4,FALSE,TRUE,2,-100,-88,-90,2.7,1.3,-3.0,au915_0,au915_0,au915_0,AU915,AU915,AU915,CRC_OK,CRC_OK,CRC_OK,51.3,83.3,76.4,98.9,Normal
d6bceba1db044ee89f4dde9d,008ac7ec,f4737149-2466-4b0a-933b-2ffdc0a541d6,2014-04-20T10:00:04.000+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,19da3dff-9fe0-41ed-8c8e-fb5a7017d025,bb9914a5-1c77-4941-9baf-1332dc8b2d40,SLS-8588,WS302-915M,24e124743d018588,WS302-915M,Mide la cantidad de decibeles (dB) en el ambiente o sector,Av. Melchor Urquidi y Zenon Salinas (AWRA),Sensor de medición de sonido,"-17.375344862040876, -66.14936933868707",10,125000,CR_4_5,915600000,85,/wv//wEB,5,FALSE,TRUE,2,-105,-104,-81,-9.4,-9.0,2.5,au915_0,au915_0,au915_0,AU915,AU915,AU915,CRC_OK,CRC_OK,CRC_OK,74.1,62.0,96.3,99.7,Alto
5dd65aa6d56845fca7f0fcc2,008ac7ec,f319efec-8181-421d-9846-5e55097d1dca,2014-04-20T10:00:05.000+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,19da3dff-9fe0-41ed-8c8e-fb5a7017d025,bb9914a5-1c77-4941-9baf-1332dc8b2d40,SLS-8588,WS302-915M,24e124743d018588,WS302-915M,Mide la cantidad de decibeles (dB) en el ambiente o sector,Av. Melchor Urquidi y Zenon Salinas (AWRA),Sensor de medición de sonido,"-17.375344862040876, -66.14936933868707",10,125000,CR_4_5,915600000,85,/wv//wEB,6,FALSE,TRUE,2,-114,-80,-111,3.5,1.9,-8.1,au915_0,au915_0,au915_0,AU915,AU915,AU915,CRC_OK,CRC_OK,CRC_OK,79.2,83.5,95.3,81.6,Alto
695e6f9c71884e0d8f451b95,008ac7ec,bf899275-d014-457a-8794-8f3f0384e7ba,2014-04-20T10:00:06.000+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,19da3dff-9fe0-41ed-8c8e-fb5a7017d025,bb9914a5-1c77-4941-9baf-1332dc8b2d40,SLS-8588,WS302-915M,24e124743d018588,WS302-915M,Mide la cantidad de decibeles (dB) en el ambiente o sector,Av. Melchor Urquidi y Zenon Salinas (AWRA),Sensor de medición de sonido,"-17.375344862040876, -66.14936933868707",10,125000,CR_4_5,915600000,85,/wv//wEB,7,FALSE,TRUE,2,-104,-89,-111,-5.1,3.0,-5.9,au915_0,au915_0,au915_0,AU915,AU915,AU915,CRC_OK,CRC_OK,CRC_OK,69.5,70.1,84.3,81.4,Moderado
67d5933ed64e46d5a0ff2aed,008ac7ec,0344bc5f-ec2d-4174-b78d-a9417308a18b,2014-04-20T10:00:07.000+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,19da3dff-9fe0-41ed-8c8e-fb5a7017d025,bb9914a5-1c77-4941-9baf-1332dc8b2d40,SLS-8588,WS302-915M,24e124743d018588,WS302-915M,Mide la cantidad de decibeles (dB) en el ambiente o sector,Av. Melchor Urquidi y Zenon Salinas (AWRA),Sensor de medición de sonido,"-17.375344862040876, -66.14936933868707",10,125000,CR_4_5,915200000,85,/wv//wEB,8,FALSE,TRUE,2,-103,-114,-97,-4.8,0.3,-3.4,au915_0,au915_0,au915_0,AU915,AU915,AU915,CRC_OK,CRC_OK,CRC_OK,61.3,48.9,92.1,92.5,Moderado
e2f1f3e88eba40a9baaaaeba,008ac7ec,61e1e99d-48c8-486d-86ac-86ca423d92b8,2014-04-20T10:00:08.000+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,19da3dff-9fe0-41ed-8c8e-fb5a7017d025,bb9914a5-1c77-4941-9baf-1332dc8b2d40,SLS-8588,WS302-915M,24e124743d018588,WS302-915M,Mide la cantidad de decibeles (dB) en el ambiente o sector,Av. Melchor Urquidi y Zenon Salinas (AWRA),Sensor de medición de sonido,"-17.375344862040876, -66.14936933868707",10,125000,CR_4_5,915600000,85,/wv//wEB,9,FALSE,TRUE,2,-88,-109,-113,2.3,4.7,5.3,au915_0,au915_0,au915_0,AU915,AU915,AU915,CRC_OK,CRC_OK,CRC_OK,54.3,83.5,82.4,82.6,Normal
7f7cfb3c1bcf4763b32ef99a,008ac7ec,bc24b686-e4d3-4a4d-a5f3-d9c841956588,2014-04-20T10:00:09.000+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,19da3dff-9fe0-41ed-8c8e-fb5a7017d025,bb9914a5-1c77-4941-9baf-1332dc8b2d40,SLS-8588,WS302-915M,24e124743d018588,WS302-915M,Mide la cantidad de decibeles (dB) en el ambiente o sector,Av. Melchor Urquidi y Zenon Salinas (AWRA),Sensor de medición de sonido,"-17.375344862040876, -66.14936933868707",10,125000,CR_4_5,915600000,85,/wv//wEB,10,FALSE,TRUE,2,-103,-95,-98,-9.9,5.3,-9.2,au915_0,au915_0,au915_0,AU915,AU915,AU915,CRC_OK,CRC_OK,CRC_OK,73.6,66.4,79.5,80.8,Alto
